"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ceftr_dose,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Dose</span>",,"mg (enter -1 if not recorded)",number,,,,"[ceftr] = '1' and [is_minimum] = '0'",,,NA,,,
ceftr_freq,drug_treatment,,dropdown,"<span style=""color:black;text-align:left;"">Frequency</span>","1, OD/once a day/24hrly | 2, BD/twice a day/12hrly | 3, TID/TDS/three times a day/8hrly | 4, QID/4 times a day/6hrly | 5, STAT | -1, Empty",,,,,,"[ceftr] = '1' and [is_minimum] = '0'",,,NA,,,
ceftr_dur,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Duration (Days)</span>",,"(enter the duration the drug was administered in days) (enter -1 if not recorded)",number,,,,"[ceftr] = '1' and [is_minimum] = '0'",,,NA,,,
date_ceftri_stopped,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Ceftriaxone Stopped</span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[ceftr] = '1' and [is_minimum] = '0'",,,NA,,,
amikacin,drug_treatment,,yesno,"<span style=""color:black;text-align:left;"">5.Amikacin prescribed
</span>",,,,,,,"[is_minimum] = '0'",,RH,NA,,,
amikacin_date,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Amikacin prescribed</span>",,,datetime_ymd,,,,"[amikacin] = '1'",,,NA,,,
amikacin_route,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Route</span>","1, I.M | 2, I.V | -1, Empty",,,,,,"[amikacin] = '1'",,RH,NA,,,
amikacin_dose,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Dose</span>",,"mg (enter -1 if not recorded)",number,,,,"[amikacin] = '1'",,,NA,,,
frequency,drug_treatment,,dropdown,"<span style=""color:black;text-align:left;"">Frequency</span>","1, OD/once a day/24hrly | 2, BD/twice a day/12hrly | 3, TID/TDS/three times a day/8hrly | 4, QID/4 times a day/6hrly | 5, STAT |-1, Empty",,,,,,"[amikacin] = '1'",,,NA,,,
duration_amikacin,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Duration(Days)</span>",,,,,,,"[amikacin] = '1'",,,NA,,,
date_amikacin_stopped,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Amikacin Stopped</span>",,,datetime_ymd,,,,"[amikacin] = '1'",,,NA,,,
cefta,drug_treatment,,yesno,"<span style=""color:black;text-align:left;"">6.Ceftazidime Prescribed
</span>",,,,,,,"[is_minimum] = '0'",,RH,NA,,,
cefta_date,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Ceftazidime prescribed</span>",,,datetime_ymd,,,,"[cefta] = '1'",,,NA,,,
